Source,Target,Weight
nm0000004,nm0000101,2
nm0000008,nm0000136,2
nm0000009,nm0159258,2
nm0000024,nm0001545,2
nm0000052,nm0681566,4
nm0000052,nm0873385,2
nm0000057,nm0007042,2
nm0000059,nm0002081,2
nm0000090,nm0000728,2
nm0000090,nm0001970,2
nm0000092,nm0000177,2
nm0000092,nm0001385,2
nm0000092,nm0001589,3
nm0000093,nm0000164,2
nm0000101,nm0000195,2
nm0000101,nm0000331,2
nm0000101,nm0000493,2
nm0000101,nm0000601,2
nm0000101,nm0001006,3
nm0000102,nm0000198,2
nm0000102,nm0000657,2
nm0000104,nm0022765,2
nm0000104,nm0273178,2
nm0000104,nm0555260,2
nm0000104,nm0704719,2
nm0000110,nm0001394,2
nm0000111,nm0000470,2
nm0000115,nm0000168,2
nm0000125,nm0000483,2
nm0000126,nm0000432,2
nm0000126,nm0001599,2
nm0000131,nm0000518,2
nm0000134,nm0000138,2
nm0000134,nm0000172,2
nm0000134,nm0000249,2
nm0000134,nm0000501,2
nm0000134,nm0000582,3
nm0000134,nm0001590,2
nm0000140,nm0000362,3
nm0000141,nm0415617,2
nm0000142,nm0000432,2
nm0000142,nm0507212,2
nm0000144,nm0000151,2
nm0000147,nm0141697,2
nm0000148,nm0000434,2
nm0000148,nm0001850,2
nm0000150,nm0000502,3
nm0000150,nm0001855,2
nm0000151,nm0000225,2
nm0000151,nm0000228,2
nm0000154,nm0000418,4
nm0000154,nm0000582,3
nm0000154,nm0817748,2
nm0000156,nm0001834,2
nm0000158,nm0000641,2
nm0000158,nm0000741,2
nm0000158,nm0001006,2
nm0000168,nm0000228,2
nm0000168,nm0000246,2
nm0000172,nm0000197,2
nm0000172,nm0000514,2
nm0000177,nm0000418,2
nm0000177,nm0001589,2
nm0000185,nm0001283,2
nm0000188,nm0001737,3
nm0000191,nm0000592,2
nm0000195,nm0000601,3
nm0000195,nm0001642,2
nm0000196,nm0001022,2
nm0000197,nm0000362,2
nm0000200,nm0000671,2
nm0000203,nm0000551,2
nm0000206,nm0911542,2
nm0000206,nm0935664,2
nm0000209,nm0002064,2
nm0000216,nm0000362,2
nm0000221,nm0000297,3
nm0000221,nm0000389,2
nm0000221,nm0000661,2
nm0000221,nm0000662,2
nm0000221,nm0000929,2
nm0000221,nm0000978,2
nm0000221,nm0001520,2
nm0000221,nm0001642,2
nm0000221,nm0202966,2
nm0000228,nm0001590,2
nm0000230,nm0001077,3
nm0000230,nm0001835,2
nm0000230,nm0949350,3
nm0000237,nm0000380,2
nm0000243,nm0000490,2
nm0000246,nm0001817,2
nm0000249,nm0000285,2
nm0000249,nm0000514,2
nm0000255,nm0000354,2
nm0000286,nm0001038,2
nm0000286,nm0001606,2
nm0000287,nm0000661,2
nm0000293,nm0000457,2
nm0000296,nm0002037,2
nm0000297,nm0000929,2
nm0000299,nm0002023,2
nm0000299,nm0934902,2
nm0000308,nm0001812,2
nm0000314,nm0002989,2
nm0000314,nm0520164,2
nm0000321,nm0000846,2
nm0000321,nm0001696,2
nm0000323,nm0001364,3
nm0000329,nm0005033,6
nm0000329,nm0636280,2
nm0000329,nm0876603,3
nm0000329,nm0950707,4
nm0000331,nm0001642,2
nm0000331,nm0536850,2
nm0000334,nm0002000,3
nm0000334,nm0156558,3
nm0000334,nm0157971,4
nm0000334,nm0160846,2
nm0000334,nm0160865,2
nm0000334,nm0298689,2
