Id,category,Label
nm0844752,actor,Rafael Sánchez Navarro
nm0194720,actor,Miguel Córcega
nm0529960,director,Eva López Sánchez
nm0561155,actor,Giovanni Mauriello
nm0269416,actor,Gianluca Favilla
nm0743027,actor,Claudio Rosini
nm0705535,director,Michael Radford
nm0450407,writer,Jessie Kesson
nm0485392,writer,John Francis Lane
nm0404158,actor,Walter Huston
nm0001379,director,John Huston
nm0442105,writer,Charles Kaufman
nm0027907,actor,Patxi Andión
nm0735911,actor,José Antonio Rodríguez
nm0897721,actor,Nelson Villagra
nm0578572,actor,Asdrúbal Meléndez
nm0350099,director,Patricio Guzmán
nm0489739,writer,Gloria Laso
nm0838937,actor,Daolin Sun
nm0944529,director,Tieli Xie
nm0745499,writer,Roushi
nm0304699,actor,Bo Gao
nm0753957,actor,Rolf Römer
nm0537007,actor,Holger Mahlich
nm0127158,director,Jürgen Böttcher
nm0687851,writer,Klaus Poche
nm0937760,actor,Gerry Wolff
nm0472545,actor,Manfred Krug
nm0351586,director,Egon Günther
nm0778360,writer,Helga Schütz
nm0804592,actor,Jerzy Skolimowski
nm0518591,actor,Tadeusz Lomnicki
nm0361540,actor,Adam Hanuszkiewicz
nm0467383,writer,Andrzej Kostenko
nm0875465,actor,Kôji Tsuruta
nm0423663,actor,Tomisaburô Wakayama
nm0837420,actor,Bunta Sugawara
nm0027947,actor,Noboru Andô
nm0297935,director,Kinji Fukasaku
nm0464817,writer,Fumio Kônami
nm0651487,writer,Norio Osada
nm0697338,actor,Martin Priest
nm0625977,actor,Henry Nemo
nm0736394,director,Michael Roemer
nm0286367,actor,Petr Forman
nm0953822,actor,Vlastimil Zavrel
nm0878702,director,Zdenek Tyc
nm0434141,writer,Jaromir Kacer
nm0815785,writer,Jirí Soukup
nm0312575,actor,Giuliano Gemma
nm0001884,actor,Max von Sydow
nm0102566,actor,Marcel Bozzuffi
nm0195327,director,Claude d'Anna
nm0094669,writer,Laure Bonin
nm0379961,writer,Gustavo Hernández
nm0032038,actor,Lak Apichat
nm0056201,actor,Bruce Baron
nm0061792,director,Godfrey Ho
nm0007554,writer,AAV Creative Unit
nm0117505,actor,Radoslav Brzobohatý
nm0649121,actor,Gustav Opocenský
nm0392705,actor,Miroslav Holub
nm0434189,director,Karel Kachyna
nm0698311,writer,Jan Procházka
nm0935156,writer,Ladislav Winkelhöfer
nm0385976,actor,Darby Hinton
nm0455181,actor,Rey Malonzo
nm0582465,actor,Ken Metcalfe
nm0379391,director,Cirio H. Santiago
nm0392833,writer,Allan Holzman
nm0125909,actor,Rolan Bykov
nm0813463,actor,Anatoliy Solonitsyn
nm0952519,actor,Vladimir Zamanskiy
nm0096846,actor,Oleg Borisov
nm0314516,director,Aleksey German
nm0314533,writer,Yuri German
nm0901663,writer,Eduard Volodarskiy
nm0673405,actor,Viktor Perevalov
nm0160065,actor,Norbert Christian
nm0139239,director,Heiner Carow
nm0379068,writer,Hermann Herlinghaus
nm0478084,writer,Claus Küchenmeister
nm0718179,actor,Klaus Reinhold
nm0023904,actor,Günther Amann
nm0094014,actor,Peter Bond
nm0082420,director,Hans Billian
nm0028487,actor,Simón Andreu
nm0617658,actor,Guillermo Méndez
nm0951373,director,José María Zabalza
nm0774880,actor,Evald Schorm
nm0407169,actor,István Iglódi
nm0464417,actor,Róbert Koltai
nm0003927,director,Gyula Gazdag
nm0350581,writer,Miklós Györffy
nm0000126,actor,Kevin Costner
nm0009746,actor,Robert Acey
nm0104608,director,Richard Brander
nm0476177,writer,Craig Kusaba
nm0031948,actor,Jesús Aparicio
nm0273417,director,Bernardo Fernández
nm0017356,writer,Víctor Barrera
nm0305869,writer,José Luis García Sánchez
nm0792227,director,Michael J. Sheridan
nm0684151,actor,Jiping Wang
nm0284566,actor,Henry Fong
nm0269624,actor,Fay Yu
nm0284544,director,Fong Pau
nm0699700,writer,Songling Pu
nm0130286,actor,Michael Callan
nm0821082,actor,James Stacy
nm0385089,director,William Byron Hillman
nm0130361,actor,Paul Callaway
nm0486181,actor,Richard Lange
nm0771018,actor,Glenn Scherer
nm0254145,actor,Brad Ellingson
nm0714215,director,Bill Rebane
nm0219009,writer,Lyoma Denetz
nm0339721,writer,Jerry Gregoris
nm0288975,director,Rolf Olsen
nm0825681,writer,Ingeborg Steinbach
nm0620154,actor,Katsuo Nakamura
nm0197379,actor,Masaaki Daimon
nm0357264,actor,Mitsuo Hamada
nm0476213,actor,Daigo Kusano
nm0474743,director,Kei Kumai
nm0406808,writer,Yoshikata Yoda
nm0911285,actor,David Warbeck
nm0723247,actor,Roberto Ricci
nm0509811,actor,José Lifante
nm0723260,director,Tonino Ricci
nm0146033,writer,Víctor Andrés Catena
nm0173549,writer,Jaime Comas Gil
nm0802885,director,Fernando Siro
nm0868540,writer,Enrique Torres Tudela
nm0691960,actor,Régis Porte
nm0577132,actor,Tobias Meister
nm0299439,actor,Herbert Fux
nm0331964,director,Franz Josef Gottlieb
nm0121113,writer,Erich Tomek
nm0326909,actor,José Gomes
nm0559211,director,Fernando Matos Silva
nm0001699,actor,Telly Savalas
nm0988187,actor,Marvin Laird
nm0903287,director,Irmgard von zur Mühlen
nm0387337,director,Leonard Ho
nm0147252,writer,Russell Cawthorne
nm0721073,actor,Fernando Rey
nm0211565,actor,Christian De Sica
nm0134073,actor,Enzo Cannavale
nm0760072,director,Salvatore Samperi
nm0223855,writer,Bruno Di Geronimo
nm0309383,writer,Michel Gast
nm0420651,writer,Ottavio Jemma
nm0554887,writer,José Luis Martínez Mollá
nm0071464,actor,Jon T. Benn
nm0497195,actor,Dragon Lee
nm0398969,actor,Bruce Le
nm0156542,actor,Yi-Tao Chang
nm0156966,director,Joseph Velasco
nm0130370,actor,William Callaway
nm0111401,actor,William Bronder
nm0327602,actor,Pedro Gonzalez Gonzalez
nm0473870,director,Andrew J. Kuehn
nm0295386,writer,Tom Friedman
nm0842415,writer,Charles Swenson
nm0686375,actor,Michele Placido
nm0515491,director,Carlo Lizzani
nm0207772,writer,Lucio De Caro
nm0870992,writer,Ignazio Silone
nm0904303,actor,Pavle Vuisic
nm0631877,actor,Dragan Nikolic
nm0831262,actor,Danilo 'Bata' Stojkovic
nm0073353,actor,Aleksandar Bercek
nm0797672,director,Slobodan Sijan
nm0468169,writer,Dusan Kovacevic
nm0156955,actor,David Chiang
nm0398944,actor,Hua Yueh
nm0157971,actor,Paul Chun
nm0803298,actor,Siu-Tin Yuen
nm0398849,director,Tien-Yung Hsu
nm0398745,actor,Tien-Hsiang Lung
nm0762805,director,Jorge Sanjinés
nm0657290,writer,Beatriz Palacios
nm0109286,actor,Peter Brikmanis
nm0184292,actor,Jacques Couture
nm0330367,actor,Kenneth Gordon
nm0413945,director,Philip Jackson
nm0210421,writer,Gabrielle De Montmollin
nm0502987,director,Po-Chih Leong
nm0150958,writer,Joyce Chan
nm0401204,actor,Ricky Hui
nm0000247,director,John Woo
nm0509599,actor,Hung-Lieh Chen
nm0938975,actor,Carter Wong
nm0848903,actor,Tao-Liang Tan
nm0157864,director,Cheng Hou
nm1002222,writer,C.Y. Yang
nm0399007,actor,Jang-Lee Hwang
nm0394547,actor,Roy Horan
nm0628838,director,See-Yuen Ng
nm0005033,director,Sammo Kam-Bo Hung
nm0477035,director,Corey Yuen
nm0786891,director,Delphine Seyrig
nm0006489,actor,Nikolay Rybnikov
nm0451419,actor,Aleksandr Kharashkevich
nm0792869,director,Igor Sheshukov
nm0488814,actor,Keith Larsen
nm0000334,actor,Chow Yun-Fat
nm0160925,director,Kuen Yeung
nm0863839,writer,Tin Leung
nm0444343,actor,Sau-Kei Lee
nm0891830,actor,Gonzalo Vega
nm0645327,actor,Manuel Ojeda
nm0379445,director,Jaime Humberto Hermosillo
nm0862479,actor,Lung Ti
nm0398771,director,Hsueh-Li Pao
nm0149222,writer,Louis Cha
nm0423053,actor,Sergio Jiménez
nm0733352,actor,Jorge Humberto Robles
nm0430858,director,Alfredo Joskowicz
nm0148755,actor,Saturno Cerra
nm0174289,actor,Fabián Conde
nm0070266,actor,Arturo Benavides
nm0095108,actor,César Bono
nm0167952,actor,Roberto Cobo
nm0209349,actor,Eduardo de la Peña
nm0327950,director,Rogelio A. González
nm0136061,writer,Emilio Carballido
nm0001637,actor,Vincent Price
nm0913176,director,Fred Warshofsky
nm0000348,actor,Tony Curtis
nm0001283,actor,Louis Gossett Jr.
