Id,category,Label,Nationality
nm0317813,actor,Manuel Gil,Inconnu
nm0243749,actor,Antonio Durán,Inconnu
nm0649892,actor,José Orjas,Inconnu
nm0649563,director,Juan de Orduña,Inconnu
nm0720019,writer,Enrique Reoyo,Inconnu
nm0524001,writer,Juan Ignacio Luca de Tena,Inconnu
nm0848519,writer,Manuel Tamayo,Inconnu
nm0165312,actor,Claus Clausen,Inconnu
nm0363235,director,Veit Harlan,Inconnu
nm0105713,writer,Alfred Braun,Inconnu
nm0404158,actor,Walter Huston,Inconnu
nm0001379,director,John Huston,Inconnu
nm0442105,writer,Charles Kaufman,Inconnu
nm0007023,actor,José Luis López Vázquez,Inconnu
nm0019330,actor,Francisco Algora,Inconnu
nm0349426,director,Manuel Gutiérrez Aragón,Inconnu
nm0305869,writer,José Luis García Sánchez,Inconnu
nm0009736,actor,Miguel Aceves Mejía,Mexico
nm0010162,actor,Armando Acosta,Inconnu
nm0554924,director,Gilberto Martínez Solares,Inconnu
nm0302055,writer,Fernando Galiana,Inconnu
nm0692180,writer,Julio Porter,Inconnu
nm0367706,actor,Russ Harvey,Inconnu
nm0574106,actor,William McNulty,Inconnu
nm0102124,director,Pat Boyette,Inconnu
nm0305239,writer,Henry Garcia,Inconnu
nm0545352,actor,Georges Marchal,Inconnu
nm0759763,actor,Mauro Sambucini,Inconnu
nm0872820,actor,Amedeo Trilli,Inconnu
nm0615893,director,Jeff Musso,Inconnu
nm0525074,writer,Christian Ludy,Inconnu
nm0519281,actor,Terence Longdon,Inconnu
nm0336579,actor,Donald Gray,Inconnu
nm0909614,actor,Dermot Walsh,Inconnu
nm0362823,actor,Robertson Hare,Inconnu
nm0935382,director,Michael Winner,Inconnu
nm0031975,actor,Imre Apáthi,Inconnu
nm0881588,actor,Tivadar Uray,Inconnu
nm0126547,director,Frigyes Bán,Inconnu
nm0198115,writer,Sándor Dallos,Inconnu
nm0468454,writer,András Kovács,Inconnu
nm0013487,actor,Antonio Aguilar,Mexico
nm0135124,actor,Manuel Capetillo,Mexico
nm0673740,actor,Emilio Pericoli,Inconnu
nm0037061,writer,Jesús María de Arozamena,Inconnu
nm0273211,writer,José María Fernández,Inconnu
nm0261576,writer,Blanca Estela Limón,Inconnu
nm0148974,actor,Gino Cervi,Inconnu
nm0632426,actor,Carlo Ninchi,Inconnu
nm0667613,actor,Nino Pavese,Inconnu
nm0685609,director,Mario Pisu,Inconnu
nm0220383,writer,Arpad DeRiso,Inconnu
nm0346705,writer,Ernesto Guida,Inconnu
nm0033475,actor,Manuel Arbó,Inconnu
nm0076662,actor,Enrique Bernedo,Inconnu
nm0130982,actor,Rafael Calvo,Spain
nm0182913,director,Vittorio Cottafavi,Inconnu
nm0897340,director,Domingo Viladomat,Inconnu
nm0091406,writer,José Rodulfo Boeta,Inconnu
nm0275146,writer,Alessandro Fersen,Inconnu
nm0315786,writer,Riccardo Ghione,Inconnu
nm0092290,actor,Curt Bois,Germany
nm0257269,actor,Heinz Engelmann,Inconnu
nm0146709,director,Alberto Cavalcanti,Inconnu
nm0106517,writer,Bertolt Brecht,Inconnu
nm0943362,writer,Hella Wuolijoki,Inconnu
nm0694792,writer,Vladimir Pozner,Inconnu
nm0927279,writer,Ruth Wieden,Inconnu
nm0737924,actor,Gustavo Rojo,Inconnu
nm0130952,actor,José Calvo,Inconnu
nm0305829,actor,Antonio García Quijada,Inconnu
nm0840733,writer,José Suárez Carreño,Inconnu
nm0000784,actor,Pedro Armendáriz,Mexico
nm0272979,actor,Jaime Fernández,Inconnu
nm0273477,director,Emilio Fernández,Inconnu
nm0305885,writer,Rafael García Travesi,Inconnu
nm0882366,writer,Rodolfo Usigli,Inconnu
nm0284822,actor,Jeffrey Stone,Inconnu
nm0729498,actor,Santiago Rivero,Inconnu
nm0537069,director,Barry Mahon,Inconnu
nm0868315,director,Ramón Torrado,Inconnu
nm0761138,actor,Fernando Sanclemente,Inconnu
nm0784718,actor,José Sepúlveda,Inconnu
nm0729676,actor,Georges Rivière,Inconnu
nm0410756,actor,José Isbert,Inconnu
nm0130955,actor,Juan Calvo,Inconnu
nm0038245,director,Carlos Arévalo,Inconnu
nm0599389,director,José Luis Monter,Inconnu
nm0179281,writer,Sergio Corbucci,Inconnu
nm0305697,writer,Jaime García Herranz,Inconnu
nm0103425,actor,Valet Bradley,Inconnu
nm0215496,actor,Ral del Castillo,Inconnu
nm0599435,actor,Jerónimo Montoro,Inconnu
nm0706575,director,Ubaldo Ragona,Inconnu
nm0953756,director,José Luis Zavala,Inconnu
nm0053541,writer,José Luis Barbero,Inconnu
nm0536007,writer,Alessandro Maggiora,Inconnu
nm0307468,actor,Antonio Garisa,Spain
nm0409421,actor,Franco Interlenghi,Inconnu
nm0054225,actor,Rafael Bardem,Inconnu
nm0709309,director,Pedro L. Ramírez,Inconnu
nm0430301,writer,Ángel A. Jordán,Inconnu
nm0168746,writer,Vicente Coello,Inconnu
nm0260474,writer,Vicente Escrivá,Inconnu
nm0109738,actor,Félix Briones,Inconnu
nm0035452,actor,Javier Armet,Inconnu
nm0303852,director,José Luis Gamboa,Inconnu
nm0348742,writer,Joaquín Gurruchaga,Inconnu
nm0554693,writer,Leonardo Martín,Inconnu
nm0583708,actor,Geronimo Meynier,Inconnu
nm0261795,actor,Carlos Estrada,Inconnu
nm0097953,actor,Andrea Bosic,Inconnu
nm0292720,director,Riccardo Freda,Inconnu
nm0000636,writer,William Shakespeare,Inconnu
nm0130922,actor,Armando Calvo,Inconnu
nm0495764,actor,Tony Leblanc,Inconnu
nm0728158,actor,Antonio Riquelme,Spain
nm0459567,director,León Klimovsky,Inconnu
nm0764373,writer,José Santugini,Inconnu
nm0065596,actor,Terry Becker,Inconnu
nm0895259,actor,Bruno VeSota,USA
nm0003203,director,Mel Welles,Inconnu
nm0012429,writer,Allan Adrian,Inconnu
nm0864814,writer,Norman Toback,Inconnu
nm0131939,actor,Francisco Camoiras,Inconnu
nm0855359,actor,Ángel Ter,Inconnu
nm0639280,director,Ricardo Núñez,Inconnu
nm0036298,writer,Carlos Arniches,Inconnu
nm0868760,writer,Mauricio Torres,Inconnu
nm0734624,actor,José María Rodero,Spain
nm0260469,actor,Javier Escrivá,Inconnu
nm0286449,director,Josep Maria Forn,Inconnu
nm0734988,writer,Paulino Rodrigo Díaz,Inconnu
nm0022164,actor,Dimas Alonso,Inconnu
nm0029275,actor,Andrès,Inconnu
nm0031367,actor,Antonio,Inconnu
nm0023554,director,Maximo Giuseppe Alviani,Inconnu
nm0603882,writer,Armando Moreno,Inconnu
nm0049318,actor,Mircea Balaban,Romania
nm0098622,actor,Emil Botta,Inconnu
nm0546149,director,Manole Marcus,Inconnu
nm0586259,director,Iulian Mihu,Inconnu
nm0756314,writer,Alexandru Sahia,Inconnu
nm0580038,actor,Juanjo Menéndez,Inconnu
nm0013358,director,Victorio Aguado,Inconnu
nm0043828,writer,A. Ayet,Inconnu
nm0602704,writer,María Luz Morales,Inconnu
nm0179757,actor,Carlos Cores,Inconnu
nm0102749,director,Julio Bracho,Inconnu
nm0665643,writer,Alfonso Patiño Gómez,Inconnu
nm0244557,actor,Rafael Durán,Spain
nm0721158,actor,Roberto Rey,Chile
nm0613377,director,Manuel Mur Oti,Inconnu
nm0163470,writer,Noel Clarasó,Inconnu
nm0554904,writer,Manuel Martínez Remís,Inconnu
nm0721073,actor,Fernando Rey,Inconnu
nm0785459,actor,Pastor Serrador,Inconnu
nm0749596,director,Arturo Ruiz Castillo,Inconnu
