Source,Target,Weight
nm0317813,nm0290572,1
nm0317813,nm0464170,1
nm0317813,nm0194742,1
nm0317813,nm0604024,1
nm0317813,nm0260334,3
nm0317813,nm0244557,1
nm0317813,nm0418111,1
nm0317813,nm0131209,5
nm0317813,nm0305517,1
nm0317813,nm0273197,1
nm0317813,nm0126960,2
nm0317813,nm0142776,2
nm0317813,nm0273404,2
nm0317813,nm0592978,1
nm0317813,nm0302080,3
nm0317813,nm0623443,1
nm0317813,nm0626259,1
nm0317813,nm0243749,1
nm0317813,nm0002816,2
nm0317813,nm0261795,4
nm0317813,nm0558290,3
nm0317813,nm0490224,1
nm0317813,nm0681195,1
nm0317813,nm0761100,1
nm0317813,nm0167962,2
nm0317813,nm0700803,1
nm0317813,nm0033475,1
nm0317813,nm0737924,1
nm0317813,nm0654843,1
nm0317813,nm0555961,1
nm0317813,nm0379678,2
nm0317813,nm0029298,1
nm0317813,nm0492972,2
nm0317813,nm0018872,1
nm0317813,nm0184175,1
nm0317813,nm0333466,1
nm0317813,nm0778792,1
nm0317813,nm0147430,1
nm0317813,nm0033858,2
nm0317813,nm0867891,1
nm0317813,nm0639253,1
nm0317813,nm0284822,1
nm0317813,nm0035452,1
nm0317813,nm0246293,2
nm0317813,nm0133257,1
nm0317813,nm0713999,1
nm0317813,nm0297516,1
nm0317813,nm0130955,1
nm0317813,nm0630132,1
nm0317813,nm0748343,1
nm0317813,nm0144107,1
nm0317813,nm0580038,1
nm0317813,nm0562841,2
nm0317813,nm0422859,1
nm0317813,nm0207023,1
nm0317813,nm0162496,1
nm0317813,nm0729498,1
nm0317813,nm0033901,3
nm0317813,nm0273888,1
nm0317813,nm0690524,1
nm0317813,nm0051434,1
nm0317813,nm0087339,2
nm0317813,nm0142976,2
nm0317813,nm0616497,1
nm0317813,nm0130756,3
nm0317813,nm0784718,1
nm0317813,nm0761138,1
nm0317813,nm0345348,1
nm0317813,nm0097953,2
nm0317813,nm0303894,1
nm0317813,nm0364490,1
nm0317813,nm0050071,1
nm0317813,nm0144957,1
nm0317813,nm0106394,2
nm0317813,nm0207458,1
nm0317813,nm0409869,2
nm0317813,nm0028487,2
nm0317813,nm0222023,1
nm0317813,nm0057342,1
nm0317813,nm0420382,2
nm0317813,nm0053900,1
nm0317813,nm0001588,2
nm0317813,nm0334503,2
nm0317813,nm0385253,2
nm0317813,nm0029297,1
nm0317813,nm0181541,1
nm0317813,nm0033007,2
nm0317813,nm0209432,1
nm0317813,nm0273510,1
nm0317813,nm0136444,1
nm0317813,nm0050781,2
nm0317813,nm0001886,1
nm0317813,nm0231728,1
nm0317813,nm0273178,2
nm0317813,nm0406608,3
nm0317813,nm0007023,1
nm0317813,nm0143030,2
nm0317813,nm0130922,2
nm0317813,nm0210274,1
nm0317813,nm0320942,1
nm0317813,nm0410758,1
nm0317813,nm0339654,1
nm0317813,nm0106629,1
nm0317813,nm0002147,1
nm0317813,nm0211922,1
nm0317813,nm0307468,2
nm0317813,nm0365835,1
nm0317813,nm0554607,1
nm0317813,nm0743331,1
nm0317813,nm0130952,1
nm0317813,nm0723041,1
nm0317813,nm0549650,1
nm0317813,nm0300565,1
nm0317813,nm0194737,1
nm0317813,nm0734624,1
nm0317813,nm0108523,1
nm0317813,nm0431708,1
nm0317813,nm0306019,1
nm0317813,nm0168482,1
nm0317813,nm0495764,1
nm0317813,nm0014763,1
nm0317813,nm0508234,1
nm0317813,nm0239063,1
nm0317813,nm0331431,1
nm0317813,nm0205784,1
nm0317813,nm0275213,1
nm0317813,nm0260469,2
nm0317813,nm0022264,1
nm0317813,nm0488585,2
