Source,Target,Weight
nm0211565,nm0339619,1
nm0211565,nm0092789,1
nm0211565,nm0024580,1
nm0211565,nm0131033,1
nm0157971,nm0066223,1
nm0157971,nm0159507,1
nm0157971,nm0156484,1
nm0000334,nm0156558,1
nm0000334,nm0490521,1
nm0000334,nm0628806,1
nm0000334,nm0156484,1
nm0000334,nm0504973,1
nm0000334,nm0490489,1
nm0000334,nm0793008,1
nm0504973,nm0156484,1
nm0504973,nm0490489,1
nm0504973,nm0793008,1
nm0043934,nm0037274,1
nm0497097,nm0482708,1
nm0497097,nm0150844,1
nm0497097,nm0628827,1
nm0497097,nm0398801,1
nm0497097,nm0482580,1
nm0497097,nm0461918,1
nm0497097,nm0151068,1
nm0497097,nm0150796,1
nm0497097,nm0793008,2
nm0497097,nm0157759,1
nm0497097,nm0155599,1
nm0497097,nm0628806,1
nm0497097,nm0938893,1
nm0151155,nm0473314,1
nm0151155,nm0155291,1
nm0151155,nm0516316,1
nm0151155,nm0399070,1
nm0027984,nm0001970,1
nm0027984,nm0126549,1
nm0580853,nm0261681,1
nm0580853,nm0379678,1
nm0580853,nm0007023,1
nm0580853,nm0622931,1
nm0408600,nm0206870,1
nm0408600,nm0273508,1
nm0007023,nm0261681,1
nm0007023,nm0379678,1
nm0007023,nm0622931,1
nm0051880,nm0338715,1
nm0051880,nm0147983,1
nm0248937,nm0001424,1
nm0040910,nm0256628,1
nm0040910,nm0619185,1
nm0040910,nm0535332,1
nm0040910,nm0793726,1
nm0001472,nm0002000,1
nm0001472,nm0066223,1
nm0001472,nm0159507,1
nm0000367,nm0000809,1
nm0700869,nm0219971,1
nm0000558,nm0001740,2
nm0007746,nm0084241,1
nm0399070,nm0473314,1
nm0399070,nm0155291,1
nm0399070,nm0516316,1
nm0473314,nm0155291,1
nm0473314,nm0516316,1
nm0003501,nm0124973,1
nm0644655,nm0346993,1
nm0644655,nm0693799,1
nm0644655,nm0094726,1
nm0644655,nm0046152,1
nm0094726,nm0346993,1
nm0094726,nm0693799,1
nm0094726,nm0046152,1
nm0000195,nm0000216,1
nm0093585,nm0195293,1
nm0155291,nm0516316,1
nm0032561,nm0116091,1
nm0032561,nm0508293,1
nm0001016,nm0238739,1
nm0001016,nm0187790,1
nm0001016,nm0001598,1
nm0001016,nm0201695,1
nm0307468,nm0126960,1
nm0490521,nm0628806,1
nm0261681,nm0379678,1
nm0261681,nm0622931,1
nm0000465,nm0668331,1
nm0001123,nm0000608,1
nm0157785,nm0482580,1
nm0157785,nm0490497,1
nm0157785,nm0150796,1
nm0950751,nm0950604,1
nm0950751,nm0947447,1
nm0950751,nm0415777,1
nm0482580,nm0490497,1
nm0482580,nm0150796,2
nm0482580,nm0482708,1
nm0482580,nm0150844,1
nm0482580,nm0628827,1
nm0482580,nm0398801,1
nm0482580,nm0461918,1
nm0482580,nm0151068,1
nm0482580,nm0793008,1
