Id,Label
nm0844752,Rafael Sánchez Navarro
nm0194720,Miguel Córcega
nm0561155,Giovanni Mauriello
nm0269416,Gianluca Favilla
nm0743027,Claudio Rosini
nm0404158,Walter Huston
nm0027907,Patxi Andión
nm0735911,José Antonio Rodríguez
nm0897721,Nelson Villagra
nm0578572,Asdrúbal Meléndez
nm0838937,Daolin Sun
nm0304699,Bo Gao
nm0753957,Rolf Römer
nm0537007,Holger Mahlich
nm0937760,Gerry Wolff
nm0472545,Manfred Krug
nm0804592,Jerzy Skolimowski
nm0518591,Tadeusz Lomnicki
nm0361540,Adam Hanuszkiewicz
nm0875465,Kôji Tsuruta
nm0423663,Tomisaburô Wakayama
nm0837420,Bunta Sugawara
nm0027947,Noboru Andô
nm0697338,Martin Priest
nm0625977,Henry Nemo
nm0286367,Petr Forman
nm0953822,Vlastimil Zavrel
nm0312575,Giuliano Gemma
nm0001884,Max von Sydow
nm0102566,Marcel Bozzuffi
nm0032038,Lak Apichat
nm0056201,Bruce Baron
nm0117505,Radoslav Brzobohatý
nm0649121,Gustav Opocenský
nm0392705,Miroslav Holub
nm0385976,Darby Hinton
nm0455181,Rey Malonzo
nm0582465,Ken Metcalfe
nm0125909,Rolan Bykov
nm0813463,Anatoliy Solonitsyn
nm0952519,Vladimir Zamanskiy
nm0096846,Oleg Borisov
nm0673405,Viktor Perevalov
nm0160065,Norbert Christian
nm0718179,Klaus Reinhold
nm0023904,Günther Amann
nm0094014,Peter Bond
nm0028487,Simón Andreu
nm0617658,Guillermo Méndez
nm0774880,Evald Schorm
nm0407169,István Iglódi
nm0464417,Róbert Koltai
nm0000126,Kevin Costner
nm0009746,Robert Acey
nm0031948,Jesús Aparicio
nm0684151,Jiping Wang
nm0284566,Henry Fong
nm0269624,Fay Yu
nm0130286,Michael Callan
nm0821082,James Stacy
nm0130361,Paul Callaway
nm0486181,Richard Lange
nm0771018,Glenn Scherer
nm0254145,Brad Ellingson
nm0620154,Katsuo Nakamura
nm0197379,Masaaki Daimon
nm0357264,Mitsuo Hamada
nm0476213,Daigo Kusano
nm0911285,David Warbeck
nm0723247,Roberto Ricci
nm0509811,José Lifante
nm0691960,Régis Porte
nm0577132,Tobias Meister
nm0299439,Herbert Fux
nm0326909,José Gomes
nm0001699,Telly Savalas
nm0988187,Marvin Laird
nm0721073,Fernando Rey
nm0211565,Christian De Sica
nm0134073,Enzo Cannavale
nm0071464,Jon T. Benn
nm0497195,Dragon Lee
nm0398969,Bruce Le
nm0156542,Yi-Tao Chang
nm0130370,William Callaway
nm0111401,William Bronder
nm0327602,Pedro Gonzalez Gonzalez
nm0686375,Michele Placido
nm0904303,Pavle Vuisic
nm0631877,Dragan Nikolic
nm0831262,Danilo 'Bata' Stojkovic
nm0073353,Aleksandar Bercek
nm0156955,David Chiang
nm0398944,Hua Yueh
nm0157971,Paul Chun
nm0803298,Siu-Tin Yuen
nm0398745,Tien-Hsiang Lung
nm0109286,Peter Brikmanis
nm0184292,Jacques Couture
nm0330367,Kenneth Gordon
nm0401204,Ricky Hui
nm0509599,Hung-Lieh Chen
nm0938975,Carter Wong
nm0848903,Tao-Liang Tan
nm0399007,Jang-Lee Hwang
nm0394547,Roy Horan
nm0006489,Nikolay Rybnikov
nm0451419,Aleksandr Kharashkevich
nm0488814,Keith Larsen
nm0000334,Chow Yun-Fat
nm0444343,Sau-Kei Lee
nm0891830,Gonzalo Vega
nm0645327,Manuel Ojeda
nm0862479,Lung Ti
nm0423053,Sergio Jiménez
nm0733352,Jorge Humberto Robles
nm0148755,Saturno Cerra
nm0174289,Fabián Conde
nm0070266,Arturo Benavides
nm0095108,César Bono
nm0167952,Roberto Cobo
nm0209349,Eduardo de la Peña
nm0001637,Vincent Price
nm0000348,Tony Curtis
nm0001283,Louis Gossett Jr.
nm0006893,John Vernon
nm0504973,Alex Man
nm0594226,Kiu Wai Miu
nm0530903,Yuk-Sing Ma
nm0465062,Tao Chiang
nm0496968,Lik Cheung
nm0001866,Bolo Yeung
nm0701124,Tamás Puskás
nm0350619,László Gálffi
nm0844141,Ádám Szirtes
nm0017062,Mircea Albulescu
nm0176033,Costel Constantin
nm0458124,Daniel Klaaß
nm0651807,Per Oscarsson
nm0535861,Patrick Magee
nm0696810,Brendan Price
nm0712731,Aldo Ray
nm0551234,William Marshall
nm0585256,Terry Michos
nm0426157,Russell Johnson
nm0365835,Richard Harrison
nm0665981,Stefano Patrizi
nm0043934,Miguel Ayones
nm0151655,Chan-Peng Chang
nm0297143,Sheng Fu
nm0514906,Chia-Liang Liu
nm0537301,Te-Lo Mai
nm0162502,Luís Miguel Cintra
nm0798189,Jorge Silva Melo
nm0706459,Tony Raggetti
nm0707726,Aldo Ralli
nm0759757,Aldo Sambrell
nm0110965,Ed Brodow
nm0176227,Don Conte
nm0497097,Danny Lee
nm0284608,Feng Tien
nm0455183,Biu Gam
nm0387360,Pak-Kwong Ho
nm0192576,Eduard Cupák
nm0579844,Vladimír Mensík
nm0882972,Lukás Vaculík
nm0229352,Michal Dlouhý
nm0918993,George David Weiss
nm0133701,Michael A. Candela
nm0799108,Armando Silvestre
nm0558975,Olivier Mathot
nm0054213,Rafael Bardem Jr.
nm0881809,Orlando Urdaneta
nm0142983,Francisco Casares
nm0261949,Cesáreo Estébanez
nm0576327,Francisco Merino
nm0697514,Barry Prima
nm0546315,Johann Mardjono
nm0379216,Rukman Herman
nm0670964,Raymond Pellegrin
nm0003909,Michael Lonsdale
nm0012734,Yves Afonso
nm0895669,Henrique Viana
nm0037188,Enric Arredondo
nm0050966,Mario Balmaseda
nm0597675,Carlos Monctezuma
nm0435611,Krzysztof Kalczynski
nm0525557,Olgierd Lukaszewicz
nm0637360,Jerzy Nowak
nm0937257,Marek Wlodarczyk
nm0793336,Tarô Shigaki
nm0463514,Asao Koike
nm0226446,Anton Diffring
nm0581014,Serge Merlin
nm0593844,Christopher Mitchum
nm0809681,Reid Smith
nm0625280,Danny Nelson
nm0906858,Lou Walker
nm0887695,James Van Patten
nm0160865,Norman Chu
nm0490492,Tony Liu
nm0939429,Jung Wang
nm0315642,Petrica Gheorghiu
nm0321366,Aurel Giurumia
nm0492242,Paul Lavric
nm0776651,Ovidiu Schumacher
nm0516327,Meng Lo
nm0156982,Sheng Chiang
nm0509600,Li Wang
nm0523711,Feng Lu
nm0001768,Rod Steiger
nm0400267,David Huffman
nm0362222,Jerry Hardin
nm0434239,Kazimierz Kaczor
nm0081466,Zbigniew Bielski
nm0398721,Mieczyslaw Hryniewicz
nm0515424,Enrique Lizalde
nm0050048,Rafael Baledón
nm0151155,Michael Wai-Man Chan
nm0580664,Luc Merenda
nm0035280,Jean-Pierre Armand
nm0176350,Hamiri Conti
nm0090955,Mark Bodin
nm0056939,Roberto Barrese
nm0114135,Lou Brown
nm0089944,John Bluthal
nm0000313,Jeff Bridges
nm0000885,Ned Beatty
nm0444198,Steven Keats
nm0663266,Orlando Parolini
nm0592190,Roberto Miranda
nm0000345,Billy Crystal
nm0733427,Harry Shearer
nm0294008,Michael Fremer
nm0187337,Bruno Cremer
nm0099366,Jean Bouise
nm0239429,Jean-Pol Dubois
nm0958317,Jérôme Zucca
nm0260469,Javier Escrivá
nm0029258,Willie Andréason
nm0424052,Roland Johansson
nm0424077,Thomas Johansson
nm0001537,Ray Milland
nm0000086,Louis de Funès
nm0127682,Franck Cabot-David
nm0069191,Hervé Bellon
nm0041620,Georges Audoubert
nm0380593,Rolf Herricht
nm0459322,Hans Klering
nm0240940,Richard Duggan
nm0194490,Béla Czink
nm0270843,András Fekete
nm0126997,Lajos Bödö
nm0457357,Lajos Kiss
nm0826835,Bernd Stephan
nm0066524,Hans Beerhenke
nm0221527,Ivan Desny
nm0027984,Péter Andorai
nm0190789,Károly Csáki
nm0595115,W.D. Mochtar
nm0637694,Alan Nuary
nm0375176,Richard Hell
nm0518579,Ulli Lommel
nm0409588,Serban Ionescu
nm0855256,Valentin Teodosiu
nm0425288,James Johnson
nm0569074,Jerry McGee
nm0530376,Temístocles López
nm0196801,Antonio Eduardo Dagnino
nm0145030,Carlos Castillo
nm0617307,Hugo Márquez
nm0396355,Germain Houde
nm0209336,Danny De La Paz
nm0000734,Eddie Albert
nm0311155,Michael V. Gazzo
nm0799434,Tomás Simek
nm0388653,Michal Hofbauer
nm0064950,Lukás Bech
nm0095524,Richard Boone
nm0001536,Toshirô Mifune
nm0823563,Mike Starr
nm0614751,Timothy Patrick Murphy
nm0783744,Artur Semedo
nm0182269,Orlando Costa
nm0007069,Pierre Richard
nm0531511,Aldo Maccione
nm0599604,Enrico Montesano
nm0700302,Enzo Pulcrano
nm0223642,Paolo Di Bella
nm0302080,Juan Luis Galiardo
nm0600120,Ovidi Montllor
nm0718704,Fermí Reixach
nm0449404,Robert Kerman
nm0685194,Perry Pirkanen
nm0053230,Luca Barbareschi
nm0166986,Al Cliver
nm0288330,Jérôme Foulon
nm0811913,César Sobrevals
nm0305955,Andrés García
nm0136551,René Cardona III
nm0274473,Pablo Ferrel
nm0243200,Ángel Dupeyrón
nm0657426,Fernando Palavicini
nm0398703,Rudolf Hrusínský
nm0436444,Jerzy Kamas
nm0240638,Jacques Dufilho
nm0167388,François Cluzet
nm0494527,Paul Le Person
nm0071249,Manuel de Benito
nm0017358,Ángel Alcázar
nm0328020,Agustín González
nm0768574,José Sazatornil
nm0022264,Rafael Alonso
nm0677612,Víctor Petit
nm0580853,Ricardo Merino
nm0022765,Héctor Alterio
nm0225185,Daniel Dicenta
nm0148992,José Manuel Cervino
nm0385860,Joaquín Hinojosa
nm0689260,Luis Politti
nm0012033,Martín Adjemián
nm0095952,José Luis Borau
nm0217079,Teo Delgado
nm0037274,Miguel Arribas
nm0145061,Eric del Castillo
nm0408600,Pedro Infante Jr.
nm0007698,Boleslaw Abart
nm0275360,Edmund Fetting
nm0059303,Jirí Bartoska
nm0904562,Ivan Vyskocil
nm0693140,Ladislav Potmesil
nm0890618,Marcel Vasinka
nm0000024,John Gielgud
nm0786614,Andrzej Seweryn
nm0162118,Jan Ciecierski
nm0579546,Yuen Man Meng
nm0950757,Wah Yuen
nm0911023,Sha Wang
nm0593369,Gordon Mitchell
nm0864081,Gabriele Tinti
