Source,Target,Label,Weight
nm0423663,nm0837420,tt0064730,3
nm0007554,nm0061792,tt0066151,6
nm0096846,nm0901663,tt0067625,3
nm0003927,nm0350581,tt0071261,3
nm0146033,nm0173549,tt0075035,3
nm0631877,nm0831262,tt0076276,3
nm0468169,nm0631877,tt0076276,3
nm0797672,nm0831262,tt0076276,3
nm0468169,nm0831262,tt0076276,5
nm0156955,nm0157971,tt0076321,3
nm0399007,nm0628838,tt0076709,3
nm0477035,nm0628838,tt0076709,5
nm0005033,nm0477035,tt0076709,5
nm0156542,nm0862479,tt0077329,3
nm0398771,nm0862479,tt0077329,3
nm0149222,nm0862479,tt0077329,3
nm0156542,nm0398771,tt0077329,3
nm0504973,nm0594226,tt0077432,3
nm0297143,nm0514906,tt0077671,3
nm0162502,nm0798189,tt0077722,4
nm0000334,nm0497097,tt0077772,4
nm0000334,nm0157971,tt0077772,4
nm0001238,nm0558975,tt0078053,4
nm0151653,nm0516327,tt0078428,3
nm0393250,nm0516327,tt0078428,3
nm0156982,nm0509600,tt0078428,3
nm0156982,nm0523711,tt0078428,3
nm0151653,nm0156982,tt0078428,9
nm0156982,nm0393250,tt0078428,7
nm0509600,nm0523711,tt0078428,3
nm0151653,nm0509600,tt0078428,6
nm0393250,nm0509600,tt0078428,6
nm0151653,nm0523711,tt0078428,5
nm0393250,nm0523711,tt0078428,4
nm0151653,nm0393250,tt0078428,15
nm0081466,nm0816391,tt0078519,3
nm0151155,nm0393250,tt0078726,4
nm0000086,nm0320833,tt0078813,3
nm0027984,nm0843640,tt0078868,3
nm0617307,nm0753858,tt0078892,3
nm0275269,nm0599604,tt0078926,3
nm0420651,nm0599604,tt0078926,4
nm0275269,nm0420651,tt0078926,5
nm0131849,nm0345549,tt0078932,4
nm0166405,nm0219959,tt0078935,3
nm0001031,nm0167388,tt0078962,5
nm0273178,nm0328020,tt0078973,6
nm0010508,nm0749597,tt0078973,3
nm0013706,nm0580853,tt0078994,3
nm0380543,nm0580853,tt0078994,3
nm0013706,nm0380543,tt0078994,3
nm0305869,nm0349426,tt0079015,3
nm0043934,nm0692475,tt0079017,4
nm0043934,nm0699962,tt0079017,3
nm0037274,nm0692475,tt0079017,3
nm0692475,nm0699962,tt0079017,3
nm0693140,nm0815784,tt0079085,5
nm0346640,nm0648505,tt0079093,5
nm0158457,nm0611652,tt0079115,3
nm0140296,nm0611652,tt0079115,3
nm0140296,nm0158457,tt0079115,3
nm0137728,nm0645327,tt0079181,3
nm0103932,nm0752922,tt0079193,3
nm0226244,nm0704496,tt0079197,3
nm0654839,nm0953400,tt0079233,3
nm0000901,nm0491626,tt0079252,4
nm0000901,nm0002192,tt0079252,4
nm0002192,nm0491626,tt0079252,3
nm0002192,nm0379150,tt0079252,4
nm0000265,nm0233209,tt0079256,3
nm0408600,nm0554924,tt0079295,4
nm0051880,nm0899911,tt0079342,4
nm0051880,nm0850212,tt0079342,4
nm0051880,nm0548151,tt0079342,3
nm0051880,nm0553916,tt0079342,5
nm0051880,nm0587531,tt0079342,5
nm0850212,nm0899911,tt0079342,4
nm0553916,nm0899911,tt0079342,5
nm0587531,nm0899911,tt0079342,7
nm0548151,nm0850212,tt0079342,3
nm0553916,nm0850212,tt0079342,4
nm0587531,nm0850212,tt0079342,5
nm0548151,nm0553916,tt0079342,3
nm0553916,nm0587531,tt0079342,6
nm0538652,nm0701633,tt0079424,3
nm0246370,nm0538652,tt0079424,3
nm0472166,nm0538652,tt0079424,3
nm0246370,nm0472166,tt0079424,3
nm0033005,nm0551394,tt0079586,3
nm0007023,nm0600120,tt0079617,3
nm0010383,nm0586482,tt0079619,4
nm0035529,nm0328020,tt0079625,3
nm0001090,nm0247642,tt0079642,6
nm0001090,nm0788325,tt0079642,4
nm0554920,nm0554924,tt0079650,8
nm0040910,nm0945282,tt0079686,25
nm0038335,nm0040910,tt0079686,25
nm0038335,nm0945282,tt0079686,27
nm0147983,nm0599604,tt0079765,3
nm0147983,nm0646179,tt0079765,4
nm0599604,nm0646179,tt0079765,3
nm0420651,nm0598720,tt0079765,3
nm0275269,nm0646179,tt0079765,3
nm0350884,nm0891830,tt0079799,3
nm0073053,nm0893872,tt0079839,10
nm0207401,nm0893872,tt0079839,10
nm0073053,nm0207401,tt0079839,42
nm0000419,nm0594746,tt0079854,4
nm0297143,nm0862479,tt0079896,3
nm0151653,nm0297143,tt0079896,4
nm0297143,nm0393250,tt0079896,7
nm0151653,nm0862479,tt0079896,3
nm0393250,nm0862479,tt0079896,6
nm0151653,nm0155631,tt0079896,5
nm0155631,nm0393250,tt0079896,3
nm0149222,nm0151653,tt0079896,5
nm0149222,nm0393250,tt0079896,7
nm0151155,nm0438071,tt0079897,5
nm0398745,nm0477231,tt0079899,3
nm0151653,nm0398745,tt0079899,5
nm0393250,nm0398745,tt0079899,5
nm0151653,nm0477231,tt0079899,8
nm0149222,nm0477231,tt0079899,4
nm0393250,nm0477231,tt0079899,8
nm0408488,nm0769249,tt0080001,5
nm0156982,nm0477231,tt0080002,7
nm0027984,nm0344662,tt0080071,6
nm0541298,nm0616556,tt0080072,3
nm0439102,nm0753875,tt0080082,5
nm0000915,nm0940919,tt0080310,3
nm0007023,nm0328020,tt0080312,5
nm0044156,nm0328020,tt0080312,5
nm0007023,nm0273178,tt0080312,3
nm0007023,nm0044156,tt0080312,4
nm0044156,nm0273178,tt0080312,7
nm0044156,nm0557980,tt0080312,3
nm0440378,nm0557927,tt0080316,3
nm0700875,nm0787462,tt0080322,6
nm0713604,nm0785177,tt0080323,3
nm0000558,nm0000720,tt0080339,4
nm0000558,nm0001878,tt0080339,4
nm0000558,nm0958387,tt0080339,4
nm0000720,nm0001878,tt0080339,6
nm0000720,nm0958387,tt0080339,6
nm0001878,nm0958387,tt0080339,6
nm0787453,nm0787462,tt0080343,3
nm0289576,nm0559769,tt0080362,17
nm0000821,nm0451166,tt0080376,4
nm0000142,nm0887174,tt0080377,3
nm0144689,nm0595063,tt0080393,17
nm0160865,nm0867268,tt0080414,7
nm0004462,nm0105475,tt0080415,3
nm0105475,nm0320929,tt0080415,3
nm0159201,nm0473322,tt0080420,3
nm0159201,nm0270495,tt0080420,3
nm0159201,nm0473314,tt0080420,3
nm0859766,nm0957193,tt0080430,3
nm0576559,nm0787462,tt0080435,3
nm0144689,nm0147983,tt0080439,6
nm0147983,nm0595063,tt0080439,6
nm0075981,nm0788325,tt0080452,3
nm0001090,nm0075981,tt0080452,3
nm0000101,nm0001006,tt0080455,3
nm0000101,nm0000484,tt0080455,5
nm0644655,nm0749914,tt0080466,3
nm0094726,nm0749914,tt0080466,3
nm0720029,nm0899945,tt0080480,3
nm0000314,nm0496746,tt0080485,7
nm0001238,nm0562210,tt0080486,36
nm0261525,nm0562210,tt0080486,3
nm0001238,nm0127656,tt0080486,3
nm0000195,nm0000601,tt0080487,5
nm0000601,nm0236519,tt0080487,3
