Id,Label
nm0317813,Manuel Gil
nm0243749,Antonio Durán
nm0649892,José Orjas
nm0165312,Claus Clausen
nm0404158,Walter Huston
nm0007023,José Luis López Vázquez
nm0019330,Francisco Algora
nm0009736,Miguel Aceves Mejía
nm0010162,Armando Acosta
nm0367706,Russ Harvey
nm0574106,William McNulty
nm0545352,Georges Marchal
nm0759763,Mauro Sambucini
nm0872820,Amedeo Trilli
nm0519281,Terence Longdon
nm0336579,Donald Gray
nm0909614,Dermot Walsh
nm0362823,Robertson Hare
nm0031975,Imre Apáthi
nm0881588,Tivadar Uray
nm0013487,Antonio Aguilar
nm0135124,Manuel Capetillo
nm0673740,Emilio Pericoli
nm0148974,Gino Cervi
nm0632426,Carlo Ninchi
nm0667613,Nino Pavese
nm0033475,Manuel Arbó
nm0076662,Enrique Bernedo
nm0130982,Rafael Calvo
nm0092290,Curt Bois
nm0257269,Heinz Engelmann
nm0737924,Gustavo Rojo
nm0130952,José Calvo
nm0305829,Antonio García Quijada
nm0000784,Pedro Armendáriz
nm0272979,Jaime Fernández
nm0284822,Jeffrey Stone
nm0729498,Santiago Rivero
nm0761138,Fernando Sanclemente
nm0784718,José Sepúlveda
nm0729676,Georges Rivière
nm0410756,José Isbert
nm0130955,Juan Calvo
nm0103425,Valet Bradley
nm0215496,Ral del Castillo
nm0599435,Jerónimo Montoro
nm0307468,Antonio Garisa
nm0409421,Franco Interlenghi
nm0054225,Rafael Bardem
nm0109738,Félix Briones
nm0035452,Javier Armet
nm0583708,Geronimo Meynier
nm0261795,Carlos Estrada
nm0097953,Andrea Bosic
nm0130922,Armando Calvo
nm0495764,Tony Leblanc
nm0728158,Antonio Riquelme
nm0065596,Terry Becker
nm0895259,Bruno VeSota
nm0131939,Francisco Camoiras
nm0855359,Ángel Ter
nm0734624,José María Rodero
nm0260469,Javier Escrivá
nm0022164,Dimas Alonso
nm0029275,Andrès
nm0031367,Antonio
nm0049318,Mircea Balaban
nm0098622,Emil Botta
nm0580038,Juanjo Menéndez
nm0179757,Carlos Cores
nm0244557,Rafael Durán
nm0721158,Roberto Rey
nm0721073,Fernando Rey
nm0785459,Pastor Serrador
nm0118000,Edgar Buchanan
nm0186415,Richard Crane
nm0137650,Spencer Carlisle
nm0846846,Luciano Tajoli
nm0303077,Nunzio Gallo
nm0188311,Carlo Croccolo
nm0664270,Jean-Claude Pascal
nm0131209,Roberto Camardiel
nm0143030,Antonio Casas
nm0529876,Carlos López Moctezuma
nm0708048,Enrique Rambal
nm0529964,Ignacio López Tarso
nm0008728,Jorge Abian
nm0043914,Juan Aymerich
nm0281012,Bud Flanagan
nm0461677,Teddy Knox
nm0626314,Jimmy Nervo
nm0325007,Jimmy Gold
nm0998983,Ángel Macías
nm0111610,Claudio Brook
nm0265761,Eduardo Fajardo
nm0108491,Antonio Bribiesca
nm0144496,David Castañeda
nm0036843,Manuel Aroca
nm0053900,Inocencio Barbán
nm0273510,Félix Fernández
nm0763803,Santo
nm0179516,Joaquín Cordero
nm0555627,Jorge Marx
nm0652679,Fernando Osés
nm0952587,Enrique Zambrano
nm0409496,Alberto Insua
nm0627969,Anthony Newley
nm0827137,Robert Stephens
nm0104183,Wilfrid Brambell
nm0883829,Manuel 'Loco' Valdés
nm0700354,Óscar Pulido
nm0658522,Ricardo Palmerola
nm0128405,José María Caffarel
nm0750968,Tony Russel
nm0057637,Baynes Barron
nm0867747,Burt Topper
nm0627219,Wolfgang Neuss
nm0618345,Wolfgang Müller
nm0775120,Günther Schramm
nm0081714,Walter Brandi
nm0712248,Isarco Ravaioli
